pair_id,category,episode_id,source_turn_idx,future_horizon,true_future_turn_idx,true_future_turn_move_label,condition,base_condition,representation_budget,representation_token_count,budget_tokenizer,explicit_count,assumption_count,context_explicit_count,context_assumption_count,all_assumption_count,source_word_count,original_boundary_verified,analysis_subset_flags,accuracy,order_consistency_rate,candidate_count,expected_comparison_row_count,parsed_comparison_row_count,complete_comparison_count,condition_available,control_unavailable_reason,candidate_pool_complete,full_retained,assumption_eligible,sparse_explicit,dense_explicit,complete_case
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,raw_history_b256,raw_history,256,58.0,whitespace_v1,3,3,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.5625,0.125,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,91.0,whitespace_v1,3,3,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.5833333333333334,0.16666666666666666,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,91.0,whitespace_v1,3,3,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.5833333333333334,0.16666666666666666,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,,whitespace_v1,3,3,3,3,3,54,True,[],,,25,48,0,0,False,no_length_matched_same_episode_random_turn_donor,True,False,False,False,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,raw_history_explicit_b256,raw_history_explicit,256,91.0,whitespace_v1,3,3,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.6041666666666666,0.20833333333333334,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,raw_history_b256,raw_history,256,58.0,whitespace_v1,3,3,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.5,0.0,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,91.0,whitespace_v1,3,3,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.5208333333333334,0.041666666666666664,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,91.0,whitespace_v1,3,3,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.5,0.0,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,,whitespace_v1,3,3,3,3,3,54,True,[],,,25,48,0,0,False,no_length_matched_same_episode_random_turn_donor,True,False,False,False,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,raw_history_explicit_b256,raw_history_explicit,256,91.0,whitespace_v1,3,3,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.5416666666666666,0.08333333333333333,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,raw_history_b256,raw_history,256,165.0,whitespace_v1,6,3,9,6,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.6458333333333334,0.2916666666666667,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,200.0,whitespace_v1,6,3,9,6,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.625,0.25,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,200.0,whitespace_v1,6,3,9,6,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.5625,0.125,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,,whitespace_v1,6,3,9,6,5,106,True,[],,,25,48,0,0,False,no_length_matched_same_episode_random_turn_donor,True,False,False,False,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,raw_history_explicit_b256,raw_history_explicit,256,200.0,whitespace_v1,6,3,9,6,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.6458333333333334,0.2916666666666667,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2:3:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,2,1,3,Assert / Elaborate,raw_history_b256,raw_history,256,217.0,whitespace_v1,4,3,13,9,4,50,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.6666666666666666,0.3333333333333333,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2:3:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,2,1,3,Assert / Elaborate,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,255.0,whitespace_v1,4,3,13,9,4,50,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.6458333333333334,0.2916666666666667,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2:3:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,2,1,3,Assert / Elaborate,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,255.0,whitespace_v1,4,3,13,9,4,50,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.6458333333333334,0.2916666666666667,25,48,48,24,True,,True,True,True,True,False,False
