pair_id,category,episode_id,source_turn_idx,future_horizon,true_future_turn_idx,true_future_turn_move_label,condition,explicit_count,assumption_count,all_assumption_count,source_word_count,original_boundary_verified,analysis_subset_flags,accuracy,order_consistency_rate,candidate_count,expected_comparison_row_count,parsed_comparison_row_count,complete_comparison_count,condition_available,control_unavailable_reason,candidate_pool_complete,full_retained,assumption_eligible,sparse_explicit,dense_explicit,complete_case
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,raw_turn,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.9375,0.875,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,raw_turn_with_history,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.9583333333333334,0.9166666666666666,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,raw_turn_plus_assumptions,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",1.0,1.0,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,explicit_only,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.75,0.5,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,explicit_plus_top3_assumptions,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.8333333333333334,0.6666666666666666,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,explicit_plus_shuffled_assumptions,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.6666666666666666,0.3333333333333333,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,1,1,Assert / Elaborate,explicit_plus_wrong_episode_assumptions,3,3,3,54,True,[],,,25,48,0,0,False,no_valid_same_episode_earlier_nonadjacent_donor,True,False,False,False,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,raw_turn,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.8958333333333334,0.7916666666666666,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,raw_turn_with_history,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.8958333333333334,0.7916666666666666,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,raw_turn_plus_assumptions,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.9375,0.875,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,explicit_only,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.75,0.5,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,explicit_plus_top3_assumptions,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.8958333333333334,0.7916666666666666,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,explicit_plus_shuffled_assumptions,3,3,3,54,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.75,0.5833333333333334,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,0,3,3,Assert / Elaborate,explicit_plus_wrong_episode_assumptions,3,3,3,54,True,[],,,25,48,0,0,False,no_valid_same_episode_earlier_nonadjacent_donor,True,False,False,False,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,raw_turn,6,3,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.8958333333333334,0.7916666666666666,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,raw_turn_with_history,6,3,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.9583333333333334,0.9166666666666666,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,raw_turn_plus_assumptions,6,3,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.9375,0.875,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,explicit_only,6,3,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.875,0.75,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,explicit_plus_top3_assumptions,6,3,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.8958333333333334,0.7916666666666666,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,explicit_plus_shuffled_assumptions,6,3,5,106,True,"[""full"", ""assumption_eligible"", ""dense_explicit""]",0.8125,0.625,25,48,48,24,True,,True,True,True,False,True,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,1,1,2,Assert / Elaborate,explicit_plus_wrong_episode_assumptions,6,3,5,106,True,[],,,25,48,0,0,False,no_valid_same_episode_earlier_nonadjacent_donor,True,False,False,False,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2:3:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,2,1,3,Assert / Elaborate,raw_turn,4,3,4,50,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.8333333333333334,0.6666666666666666,25,48,48,24,True,,True,True,True,True,False,False
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2:3:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,2,1,3,Assert / Elaborate,raw_turn_with_history,4,3,4,50,True,"[""full"", ""assumption_eligible"", ""sparse_explicit""]",0.9791666666666666,0.9583333333333334,25,48,48,24,True,,True,True,True,True,False,False
